epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21197,3.13397,4.0087,1.85898,0.22556,0.39469,0.18742,0.0893,1.94041,2.81177,1.26777,6e-05,6e-05,6e-05
2,6.56183,2.36563,3.11708,1.60719,0.43327,0.52657,0.47207,0.21588,1.92264,inf,1.28942,0.000137228,0.000137228,0.000137228
3,8.29729,2.26863,1.36301,1.36625,0.3506,0.60499,0.33112,0.15038,2.04887,2.35365,1.34334,0.000211288,0.000211288,0.000211288
4,9.87991,1.76052,1.1788,1.24713,0.43533,0.73446,0.66565,0.34456,1.65952,inf,1.19637,0.00028218,0.00028218,0.00028218
5,11.5199,1.76264,0.97098,1.2298,0.4113,0.7197,0.56956,0.29151,1.62688,inf,1.1956,0.000349904,0.000349904,0.000349904
6,13.1569,1.66376,0.82861,1.14212,0.37352,0.6536,0.51701,0.23934,1.84525,inf,1.26127,0.00041446,0.00041446,0.00041446
7,14.7785,1.73005,0.8193,1.14295,0.4494,0.66069,0.57536,0.28713,1.7596,inf,1.26023,0.000475848,0.000475848,0.000475848
8,16.3421,1.51502,0.79154,1.10877,0.44529,0.53662,0.47842,0.22321,1.95123,3.45132,1.45817,0.000534068,0.000534068,0.000534068
9,17.9066,1.53984,0.80925,1.15027,0.67238,0.64452,0.67304,0.36049,1.66758,2.51288,1.2632,0.00058912,0.00058912,0.00058912
10,19.6997,1.71414,0.82974,1.1326,0.62672,0.43034,0.50581,0.25619,1.97341,2.36,1.49147,0.000641004,0.000641004,0.000641004
11,21.3466,1.51317,0.76129,1.07781,0.27091,0.33539,0.23764,0.10582,2.39348,5.01312,1.59341,0.00068972,0.00068972,0.00068972
12,23.9051,1.48829,0.74581,1.05437,0.45232,0.53564,0.46912,0.23287,1.9056,2.90577,1.33169,0.000735268,0.000735268,0.000735268
13,26.5136,1.47323,0.76135,1.09658,0.60909,0.64128,0.58119,0.30282,1.65006,1.97803,1.19249,0.000777648,0.000777648,0.000777648
14,29.156,1.45445,0.79505,1.12831,0.52402,0.64785,0.45392,0.23775,1.65117,2.3483,1.17967,0.00081686,0.00081686,0.00081686
15,31.945,1.46337,0.70929,1.07435,0.49318,0.65051,0.42134,0.22618,1.63689,2.02341,1.18141,0.000852904,0.000852904,0.000852904
16,34.594,1.37369,0.70425,1.0414,0.49136,0.62865,0.41457,0.22247,1.63693,1.93223,1.18655,0.00088578,0.00088578,0.00088578
17,37.1114,1.42548,0.71962,1.09443,0.16847,0.2803,0.10612,0.065,1.64174,inf,1.18695,0.000915488,0.000915488,0.000915488
18,39.8239,1.38669,0.69518,1.08618,0.5273,0.5687,0.40628,0.22562,1.62649,2.18309,1.17734,0.000942028,0.000942028,0.000942028
19,42.2444,1.46932,0.70333,1.05541,0.51919,0.55217,0.40356,0.21779,1.68716,inf,1.18793,0.0009654,0.0009654,0.0009654
20,44.8115,1.33932,0.65533,1.02078,0.40368,0.64874,0.34072,0.19083,1.65063,1.50702,1.17976,0.000985604,0.000985604,0.000985604
21,47.4991,1.35192,0.65072,0.99329,0.40291,0.51005,0.29944,0.17106,1.55297,inf,1.13276,0.00100264,0.00100264,0.00100264
22,50.1585,1.35251,0.67551,1.02568,0.51319,0.57583,0.44413,0.26289,1.54648,1.38175,1.13715,0.00101651,0.00101651,0.00101651
23,52.7681,1.31477,0.66906,1.02119,0.32097,0.45755,0.23221,0.13391,1.61666,2.09516,1.17134,0.00102721,0.00102721,0.00102721
24,55.4038,1.34356,0.65657,1.05164,0.28667,0.42093,0.20109,0.11927,1.60876,2.61587,1.18549,0.00103474,0.00103474,0.00103474
