epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.76713,3.12559,3.57985,1.84089,0.10778,0.18859,0.06614,0.0299,2.09829,3.40262,1.28545,6e-05,6e-05,6e-05
2,8.88205,2.34422,3.48597,1.60389,0.21241,0.37168,0.16212,0.0738,2.08939,3.35605,1.34652,0.000137228,0.000137228,0.000137228
3,9.81793,2.57643,3.21343,1.46214,0.21778,0.38108,0.16724,0.06924,2.40398,3.2425,1.5714,0.000211288,0.000211288,0.000211288
4,10.6547,2.08204,2.70662,1.32204,0.22741,0.39793,0.31274,0.13196,2.25113,2.95702,1.49728,0.00028218,0.00028218,0.00028218
5,11.4171,2.1396,2.32655,1.30642,0.23852,0.41737,0.38428,0.16498,2.23901,2.74295,1.48172,0.000349904,0.000349904,0.000349904
6,12.5142,2.10002,2.18051,1.21888,0.686,0.31465,0.41433,0.1706,2.13654,2.57091,1.36451,0.00041446,0.00041446,0.00041446
7,13.1991,2.15737,1.98211,1.20594,0.68192,0.36334,0.43363,0.19088,2.11631,2.4229,1.31509,0.000475848,0.000475848,0.000475848
8,13.8892,1.89267,1.81691,1.16066,0.6895,0.40656,0.46206,0.21412,2.06979,2.29128,1.24246,0.000534068,0.000534068,0.000534068
9,14.5849,1.89491,1.74665,1.16775,0.65418,0.40181,0.46014,0.21536,2.09472,2.21294,1.25403,0.00058912,0.00058912,0.00058912
10,15.2589,2.22089,1.64598,1.21886,0.6609,0.43199,0.49447,0.24031,2.0591,1.99512,1.24705,0.000641004,0.000641004,0.000641004
11,15.936,1.8713,1.48632,1.11427,0.70603,0.47707,0.54774,0.26483,2.02743,1.79464,1.22372,0.00068972,0.00068972,0.00068972
12,16.6312,1.8978,1.40268,1.09384,0.70534,0.48542,0.56777,0.27526,1.98365,1.77053,1.22727,0.000735268,0.000735268,0.000735268
13,17.3046,1.91926,1.45586,1.16101,0.69634,0.51458,0.59569,0.29137,1.9354,1.61483,1.21769,0.000777648,0.000777648,0.000777648
14,17.9491,1.79558,1.298,1.13247,0.70894,0.4987,0.58293,0.28888,1.95047,1.61263,1.23316,0.00081686,0.00081686,0.00081686
15,18.6144,1.85939,1.29097,1.11487,0.67807,0.49546,0.55788,0.27571,1.97184,1.58884,1.21191,0.000852904,0.000852904,0.000852904
16,19.2612,1.67165,1.20394,1.0605,0.63286,0.47894,0.52421,0.25609,1.9704,1.6147,1.20089,0.00088578,0.00088578,0.00088578
17,19.9058,1.74892,1.2413,1.11953,0.61012,0.45172,0.49058,0.24211,2.0011,1.5897,1.22493,0.000915488,0.000915488,0.000915488
18,20.5637,1.70513,1.19932,1.10427,0.64008,0.46565,0.52501,0.26466,1.98038,1.56184,1.22123,0.000942028,0.000942028,0.000942028
